Method,Augmentation,Intensity,Accuracy,F1,FPR,mIoU
All-14,None,0.0,1.0000,1.0000,0.0000,1.0000
All-14,Fog,0.3,0.4532,0.2982,0.9747,0.2353
All-14,Glare,0.3,0.8102,0.8077,0.3383,0.6799
All-14,Shadow,0.3,0.7657,0.7594,0.4177,0.6171
MI-4,None,0.0,1.0000,1.0000,0.0000,1.0000
MI-4,Fog,0.3,0.8954,0.8958,0.1530,0.8102
MI-4,Glare,0.3,0.9864,0.9865,0.0242,0.9729
MI-4,Shadow,0.3,1.0000,1.0000,0.0000,1.0000
QFS-2,None,0.0,1.0000,1.0000,0.0000,1.0000
QFS-2,Fog,0.3,0.8141,0.8144,0.2601,0.6864
QFS-2,Glare,0.3,0.9994,0.9994,0.0012,0.9987
QFS-2,Shadow,0.3,0.9716,0.9715,0.0000,0.9436
QFS-4,None,0.0,1.0000,1.0000,0.0000,1.0000
QFS-4,Fog,0.3,0.8354,0.8360,0.2037,0.7166
QFS-4,Glare,0.3,0.8838,0.8839,0.2071,0.7918
QFS-4,Shadow,0.3,0.8573,0.8569,0.2543,0.7502
QFS-6,None,0.0,1.0000,1.0000,0.0000,1.0000
QFS-6,Fog,0.3,0.8819,0.8822,0.1784,0.7884
QFS-6,Glare,0.3,0.8748,0.8747,0.2232,0.7774
QFS-6,Shadow,0.3,0.9238,0.9241,0.1358,0.8582
