Method,k,Sigma,Accuracy
QFS_k2,2,0.0,1.0
QFS_k2,2,0.05,0.6058823529411764
QFS_k2,2,0.1,0.29705882352941176
QFS_k2,2,0.15,0.21470588235294116
QFS_k2,2,0.2,0.17352941176470588
QFS_k2,2,0.25,0.15
QFS_k2,2,0.3,0.12941176470588237
MI_k2,2,0.0,1.0
MI_k2,2,0.05,0.4470588235294118
MI_k2,2,0.1,0.12352941176470589
MI_k2,2,0.15,0.05588235294117647
MI_k2,2,0.2,0.029411764705882353
MI_k2,2,0.25,0.014705882352941176
MI_k2,2,0.3,0.011764705882352941
QFS_k4,4,0.0,1.0
QFS_k4,4,0.05,0.7676470588235295
QFS_k4,4,0.1,0.3911764705882353
QFS_k4,4,0.15,0.17647058823529413
QFS_k4,4,0.2,0.08823529411764706
QFS_k4,4,0.25,0.061764705882352944
QFS_k4,4,0.3,0.05
MI_k4,4,0.0,1.0
MI_k4,4,0.05,0.6852941176470588
MI_k4,4,0.1,0.23823529411764705
MI_k4,4,0.15,0.09411764705882353
MI_k4,4,0.2,0.03823529411764706
MI_k4,4,0.25,0.023529411764705882
MI_k4,4,0.3,0.011764705882352941
QFS_k6,6,0.0,1.0
QFS_k6,6,0.05,0.5588235294117647
QFS_k6,6,0.1,0.1411764705882353
QFS_k6,6,0.15,0.029411764705882353
QFS_k6,6,0.2,0.011764705882352941
QFS_k6,6,0.25,0.008823529411764706
QFS_k6,6,0.3,0.0058823529411764705
MI_k6,6,0.0,1.0
MI_k6,6,0.05,0.5264705882352941
MI_k6,6,0.1,0.11176470588235295
MI_k6,6,0.15,0.03235294117647059
MI_k6,6,0.2,0.008823529411764706
MI_k6,6,0.25,0.0029411764705882353
MI_k6,6,0.3,0.0
